티커,종목명,현재가,등락률(%),거래량비율,MA5,MA20,MA60,정배열,눌림목,장대양봉,망치형,전고돌파,PER,PBR,ROE(%),배당률(%),BPS,스윙점수,시그널,1차목표가,손절가
003920,남양유업,52500,2.94,1.15,50980,49652,50231,False,False,False,False,True,1944.44,0.69,0.04,0.19,76517,55,외+기관_동시매수 | 전고돌파 | PBR0.69 | 배당0.2%,56175,49652
016580,환인제약,10760,0.09,1.0,10624,10589,11060,False,True,False,False,False,7.03,0.44,6.26,2.79,24628,55,외+기관_동시매수 | 눌림목반등 | PBR0.44 | 배당2.8%,11513,10222
008870,금비,49500,-1.0,0.66,49480,49145,51260,False,True,False,False,False,11.29,0.5,4.43,3.03,99570,55,외+기관_동시매수 | 눌림목반등 | PBR0.50 | 배당3.0%,52965,47025
055550,신한지주,102500,-3.3,1.79,100140,88865,81636,True,False,False,False,False,12.14,0.91,7.5,2.11,112364,55,기관_순매수 | 거래량1.8x | 정배열 | PBR0.91 | 배당2.1%,109675,88865
003620,KG모빌리티,4040,-0.98,0.44,4020,3791,3596,True,False,False,False,False,23.09,0.56,2.43,0.0,7233,55,외+기관_동시매수 | 정배열 | PBR0.56,4670,3791
448730,삼성FN리츠,5140,1.38,0.9,5098,4964,4776,True,False,False,False,True,0.0,0.0,0.0,0.0,0,55,외+기관_동시매수 | 정배열 | 전고돌파,5499,4883
298020,효성티앤씨,404000,0.37,0.53,396600,377225,278425,True,False,False,False,False,12.96,1.2,9.26,2.48,338062,50,외+기관_동시매수 | 정배열 | 배당2.5%,432280,377225
229640,LS에코에너지,44200,1.03,0.77,43480,41070,37542,True,False,False,False,False,42.91,7.31,17.04,0.45,6048,50,외+기관_동시매수 | 정배열 | 배당0.5%,47294,41070
350520,이지스레지던스리츠,3870,1.98,0.8,3822,3830,3907,False,True,False,False,True,0.0,0.0,0.0,0.0,0,50,외+기관_동시매수 | 눌림목반등 | 전고돌파,4140,3676
026890,스틱인베스트먼트,11660,-0.77,0.69,11726,11112,10487,True,False,False,False,False,45.55,1.69,3.71,2.14,6887,50,외+기관_동시매수 | 정배열 | 배당2.1%,12476,11077
028050,삼성E&A,33900,0.3,0.46,33440,30310,26817,True,False,False,False,False,8.78,1.57,17.88,1.95,21591,50,외+기관_동시매수 | 정배열 | 배당1.9%,36273,30310
000660,SK하이닉스,880000,-0.9,0.71,878200,831250,682783,True,False,False,False,False,30.63,8.2,26.77,0.25,107256,50,외+기관_동시매수 | 정배열 | 배당0.2%,941600,831250
007280,한국특강,1388,1.02,0.57,1370,1373,1440,False,True,False,False,False,0.0,0.38,0.0,0.0,3664,50,외+기관_동시매수 | 눌림목반등 | PBR0.38,1485,1318
002710,TCC스틸,15810,-2.53,0.46,16330,15875,15400,True,False,False,False,False,20.56,1.63,7.93,0.63,9726,50,외+기관_동시매수 | 정배열 | 배당0.6%,18670,15019
185750,종근당,94000,-1.36,1.21,92940,87545,86006,True,False,False,False,False,11.95,1.38,11.55,1.17,67953,50,외+기관_동시매수 | 정배열 | 배당1.2%,100580,87545
161890,한국콜마,72400,0.0,1.1,72760,68690,65798,True,False,False,False,False,18.9,2.16,11.43,0.99,33579,50,외+기관_동시매수 | 정배열 | 배당1.0%,77468,68690
128940,한미약품,601000,-2.12,0.4,599000,513125,467666,True,False,False,False,False,62.82,7.02,11.17,0.21,85558,50,외+기관_동시매수 | 정배열 | 배당0.2%,643070,513125
068270,셀트리온,238000,-0.21,0.78,234700,217150,200443,True,False,False,False,False,126.33,3.04,2.41,0.32,78248,50,외+기관_동시매수 | 정배열 | 배당0.3%,254660,217150
02826K,삼성물산우B,195700,1.14,0.77,189380,185440,161550,True,False,False,False,False,0.0,0.0,0.0,1.35,0,50,외+기관_동시매수 | 정배열 | 배당1.4%,209399,185440
